generation,N_shifts,logPrior,logLik,eventRate,acceptRate
40200000,6,36.4284,-2103.05,2.89184,0.25581
40300000,3,17.1706,-2107.99,1.33352,0.22795
40400000,3,18.6764,-2113.2,1.97545,0.21233
40500000,2,13.9397,-2115.64,0.683235,0.25131
40600000,3,17.5107,-2108.44,3.71095,0.244582
40700000,4,27.9452,-2111.36,1.25328,0.23656
40800000,4,28.5056,-2115.36,2.57462,0.217597
40900000,4,26.7989,-2104.68,2.32782,0.246715
41000000,5,33.5606,-2107.7,2.29703,0.25454
41100000,4,26.5129,-2108.85,1.74227,0.259145
41200000,5,32.0877,-2109.37,2.40152,0.24698
41300000,4,25.5116,-2108.36,3.47164,0.240627
41400000,4,28.1195,-2110.56,1.76753,0.24738
41500000,4,26.6662,-2109.1,3.8044,0.23923
41600000,2,14.8515,-2120.73,1.07777,0.23334
41700000,3,19.5564,-2114.95,1.30505,0.278662
41800000,2,11.8233,-2115.87,1.35078,0.234113
41900000,5,30.886,-2102.51,5.06715,0.26009
42000000,3,20.8532,-2121.4,3.18741,0.214953
42100000,5,32.5838,-2108.82,3.35476,0.306145
42200000,5,32.181,-2107.38,3.24786,0.30702
42300000,3,16.6627,-2113.26,3.18387,0.241143
42400000,4,25.3245,-2103.74,3.00912,0.280385
42500000,4,23.7038,-2109.7,2.80085,0.32417
42600000,4,25.9441,-2116.21,1.20624,0.27981
42700000,4,26.3964,-2105.14,0.663554,0.19
42800000,3,20.8324,-2111.46,0.933698,0.210799
42900000,3,19.395,-2108.77,3.02239,0.26785
43000000,3,19.2373,-2107.77,3.11234,0.26866
43100000,3,18.2758,-2111.94,2.58662,0.24596
43200000,3,18.1898,-2110,3.1504,0.21176
43300000,3,19.5451,-2111.88,2.22486,0.24755
43400000,4,25.2023,-2114.13,2.10537,0.23474
43500000,4,22.723,-2113.01,4.064,0.248916
43600000,3,20.2329,-2110.06,0.617256,0.24575
43700000,6,38.0478,-2118.97,5.29083,0.26684
43800000,5,31.8813,-2100.51,1.84159,0.249406
43900000,3,15.8657,-2108.63,3.07996,0.218397
44000000,1,8.57454,-2134.6,0.703848,0.207193
44100000,3,15.8211,-2106.45,2.43056,0.203165
44200000,3,17.8825,-2110.78,3.69497,0.30047
44300000,4,28.488,-2111.37,1.68303,0.214755
44400000,3,19.8366,-2115.1,1.00595,0.25297
44500000,4,26.5077,-2106.19,1.66939,0.24826
44600000,4,23.431,-2113.15,2.57676,0.27412
44700000,4,22.6497,-2109.28,5.24946,0.220287
44800000,3,18.8745,-2108.99,3.11463,0.25906
44900000,8,52.1705,-2091.74,2.82651,0.249144
45000000,8,51.1286,-2089.11,3.22903,0.31815
45100000,3,16.7335,-2110.53,3.7363,0.26244
45200000,4,21.3235,-2111.95,4.95622,0.260825
45300000,3,20.4524,-2108.92,1.57895,0.274583
45400000,4,23.9425,-2108.09,2.05453,0.255255
45500000,3,18.9346,-2109.68,0.921299,0.244
45600000,6,35.7319,-2101.04,3.28332,0.257315
45700000,3,15.8021,-2114.64,3.63241,0.256147
45800000,8,51.9945,-2100.12,3.16567,0.328405
45900000,5,32.7518,-2117.04,3.93237,0.34436
46000000,3,21.2548,-2107.91,1.00069,0.271716
46100000,4,21.4502,-2111.6,4.02923,0.247325
46200000,3,15.5518,-2108.28,3.96339,0.208067
46300000,5,31.2478,-2100.02,1.10099,0.280745
46400000,5,29.2439,-2102.65,3.59479,0.260785
46500000,4,23.1255,-2116.71,4.26458,0.305055
46600000,7,43.6638,-2087.77,2.66268,0.31652
46700000,4,25.5127,-2113.28,2.64688,0.227996
46800000,3,17.2418,-2112.06,1.74248,0.258554
46900000,3,16.5033,-2119.43,1.25155,0.20241
47000000,3,17.214,-2110.4,3.15111,0.19486
47100000,3,20.9148,-2109.41,0.501745,0.2139
47200000,3,19.2232,-2117.9,0.59247,0.248035
47300000,3,19.6228,-2108.47,1.5378,0.235765
47400000,2,13.4848,-2124.71,1.42275,0.2399
47500000,2,12.2804,-2118.26,1.0133,0.20764
47600000,3,23.7584,-2118.23,0.810525,0.299677
47700000,2,11.6567,-2120.06,1.41767,0.166848
47800000,2,12.334,-2122.37,1.47657,0.2806
47900000,6,37.9895,-2104.69,4.92298,0.25236
48000000,3,22.6587,-2116.64,1.16933,0.25518
48100000,5,29.5241,-2111.31,4.08301,0.19905
48200000,6,36.8304,-2104.03,1.24015,0.2559
48300000,2,14.2078,-2117.25,0.439086,0.266943
48400000,3,18.9005,-2108.53,1.83211,0.21227
48500000,3,20.1527,-2112.76,3.04019,0.27373
48600000,3,19.6415,-2109.2,2.27456,0.23774
48700000,3,20.6605,-2110.7,1.29473,0.248591
48800000,4,27.6963,-2110.62,1.36039,0.258375
48900000,4,27.4182,-2109.69,1.62868,0.25978
49000000,3,19.7414,-2112.46,1.05936,0.25335
49100000,4,24.7985,-2108.51,3.13115,0.24556
49200000,3,16.4457,-2114.06,1.87417,0.25313
49300000,1,9.45565,-2135.51,0.905747,0.269745
49400000,3,19.7592,-2109.62,0.834332,0.237439
49500000,5,32.8773,-2114.29,1.89361,0.219549
49600000,4,26.4481,-2108.52,0.968788,0.264887
49700000,3,17.7018,-2110.05,2.49885,0.22613
49800000,3,19.4405,-2108.63,1.4311,0.24556
49900000,3,18.4562,-2108.76,3.96555,0.252283
50000000,2,13.3337,-2118.83,0.299581,0.279974
50100000,3,16.2693,-2110.76,3.60174,0.22554
50200000,4,27.5103,-2102.64,0.442635,0.22606
50300000,3,19.2494,-2108.2,2.40122,0.24236
50400000,2,9.89857,-2115.53,2.86414,0.19997
50500000,3,20.4706,-2111.71,0.354128,0.2148
50600000,4,26.9375,-2117.32,1.68084,0.232415
50700000,4,26.7492,-2110.67,2.80087,0.221675
50800000,3,21.2559,-2115.59,2.03722,0.220005
50900000,2,12.0808,-2119.65,3.57964,0.242954
51000000,3,21.759,-2114.48,0.543644,0.21275
51100000,4,27.2059,-2115.19,2.23978,0.21726
51200000,4,26.5554,-2123.67,2.25839,0.213995
51300000,6,39.2251,-2103.26,2.60437,0.3321
